iter	Logloss
353	0.5731795373
354	0.5731153566
355	0.5730786102
356	0.5729869536
357	0.5729393348
358	0.5728780258
359	0.5728462993
360	0.5727464196
361	0.5726965138
362	0.5726357493
363	0.5725705956
364	0.5725225185
365	0.5724646889
366	0.572362483
367	0.5723032994
368	0.5722604934
369	0.5722268152
370	0.5721594891
371	0.5721059248
372	0.5720221224
373	0.5719782578
374	0.5719025936
375	0.5718338111
376	0.5717678305
377	0.571665687
378	0.5715883178
379	0.5715266244
380	0.5714797568
381	0.5714004281
382	0.5713477255
383	0.5712752072
384	0.5712094554
385	0.5711552449
386	0.5710966625
387	0.5710356607
388	0.570968112
389	0.5709357686
390	0.5708784573
391	0.5708430305
392	0.5707807485
393	0.5707483417
394	0.5707261237
395	0.5706886085
396	0.5706190951
397	0.5705694049
398	0.5704902215
399	0.570448465
400	0.5703930737
401	0.5703571146
402	0.5702832909
403	0.5702439481
404	0.5701944362
405	0.5701257275
406	0.5700631608
407	0.5700039433
408	0.5699587097
409	0.5698888952
410	0.5698083793
411	0.5697532759
412	0.5697151243
413	0.569672034
414	0.5696142666
415	0.5695899772
416	0.5695321846
417	0.5694918012
418	0.5694248804
419	0.5693412264
420	0.5693019686
421	0.5692430311
422	0.5691888665
423	0.5691234902
424	0.5690825563
425	0.5689931023
426	0.568961363
427	0.5689109238
428	0.5688652038
429	0.5687993599
430	0.5687763661
431	0.5687020928
432	0.5686179944
433	0.5685700715
434	0.5685431313
435	0.5685141333
436	0.568452969
437	0.5683881608
438	0.5683605713
439	0.5683189716
440	0.5682661174
441	0.5682297092
442	0.568154967
443	0.5680993414
444	0.5680144316
445	0.5679522807
446	0.5679276015
447	0.5678758272
448	0.567797692
449	0.5677450303
450	0.567702219
451	0.5676685378
452	0.5676067303
453	0.5675400996
454	0.5675091001
455	0.5674643174
456	0.5674311226
457	0.5673479105
458	0.5672870622
459	0.5672442794
460	0.5671911509
461	0.5671161938
462	0.567061453
463	0.5670213793
464	0.5669347268
465	0.5668698149
466	0.5668194761
467	0.5667896765
468	0.56677804
469	0.5667373305
470	0.5666707337
471	0.5666160039
472	0.5665487044
473	0.5665089516
474	0.5664403751
475	0.5663922445
476	0.5663278253
477	0.5662790375
478	0.5662131015
479	0.5661288852
480	0.5660551098
481	0.5659921498
482	0.565940002
483	0.5658735232
484	0.5658347334
485	0.5657577447
486	0.5657146859
487	0.5656444429
488	0.5655724158
489	0.5655086685
490	0.5654758597
491	0.5654019664
492	0.5653452415
493	0.5652837867
494	0.5652264929
495	0.5651667975
496	0.5650999519
497	0.5650385601
498	0.5649915
499	0.5649460126
